Forest,BurnType,TakedownDate,TrapType,TreeNumber,CollectionEventNumber,TrapDestroyed,VialNumber,LabelCode,PrelimID,Order,Count,Family,Genus,Specimen ID,Guild,Sex,det,Preservation,Notes
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Orthoptera,0,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Blattodea,6,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Psocodea,1,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Neuroptera,0,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Araneae,0,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Mecoptera,0,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Diplopoda,0,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Hymenoptera,12,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Coleoptera,218,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Hemiptera,42,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Diptera,101,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Thysanoptera,60,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Acari,37,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Opiliones,0,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Collembola,35,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Lepidoptera,6,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Orthoptera,0,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Blattodea,5,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Psocodea,2,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Neuroptera,0,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Araneae,4,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Mecoptera,0,,,,,,,,
sgl322,unburned,6/10/25,clear vane,13,1,no,totaled,"322, CV 13, 2025-6-10",,Diplopoda,1,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Hymenoptera,79,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Coleoptera,126,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Hemiptera,39,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Diptera,175,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Thysanoptera,1091,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Acari,9,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Opiliones,0,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Collembola,9,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Lepidoptera,5,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Orthoptera,0,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Blattodea,0,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Psocodea,1,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Neuroptera,0,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Araneae,7,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Mecoptera,0,,,,,,,,
besf,recent,7/3/25,clear vane,19,1,no,totaled,"besf, CV 19, 2025-7-3",,Diplopoda,0,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Hymenoptera,26,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Coleoptera,40,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Hemiptera,7,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Diptera,262,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Thysanoptera,20,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Acari,63,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Opiliones,0,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Collembola,4,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Lepidoptera,3,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Orthoptera,0,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Blattodea,0,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Psocodea,1,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Neuroptera,0,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Araneae,5,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Mecoptera,0,,,,,,,,
besf,medium,7/3/25,clear vane,25,1,no,totaled,"besf, CV 25, 2025-7-3",,Diplopoda,0,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Hymenoptera,7,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Coleoptera,28,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Hemiptera,13,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Diptera,200,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Thysanoptera,27,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Acari,4,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Opiliones,0,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Collembola,5,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Lepidoptera,3,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Orthoptera,0,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Blattodea,0,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Psocodea,0,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Neuroptera,2,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Araneae,1,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Mecoptera,0,,,,,,,,
besf,unburned,7/3/25,clear vane,31,1,no,totaled,"besf, CV 31, 2025-7-3",,Diplopoda,0,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Hymenoptera,25,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Coleoptera,91,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Hemiptera,11,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Diptera,111,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Thysanoptera,154,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Acari,42,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Opiliones,0,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Collembola,2,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Lepidoptera,10,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Orthoptera,0,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Blattodea,0,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Psocodea,1,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Neuroptera,0,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Araneae,0,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Mecoptera,1,,,,,,,,
msf,recent,7/9/25,clear vane,37,1,no,totaled,"msf, CV 37, 2025-07-09",,Diplopoda,0,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Hymenoptera,13,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Coleoptera,81,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Hemiptera,6,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Diptera,71,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Thysanoptera,190,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Acari,8,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Opiliones,0,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Collembola,1,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Lepidoptera,3,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Orthoptera,2,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Blattodea,0,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Psocodea,1,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Neuroptera,0,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Araneae,1,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Mecoptera,0,,,,,,,,
msf,medium,7/9/25,clear vane,43,1,no,totaled,"msf, CV 43, 2025-07-09",,Diplopoda,0,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Hymenoptera,15,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Coleoptera,78,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Hemiptera,4,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Diptera,86,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Thysanoptera,81,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Acari,12,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Opiliones,0,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Collembola,5,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Lepidoptera,4,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Orthoptera,0,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Blattodea,0,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Psocodea,9,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Neuroptera,1,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Araneae,2,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Mecoptera,1,,,,,,,,
msf,unburned,7/9/25,clear vane,49,1,no,totaled,"msf, CV 49, 2025-07-09",,Diplopoda,0,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Hymenoptera,35,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Coleoptera,104,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Hemiptera,6,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Diptera,99,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Thysanoptera,991,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Acari,3,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Opiliones,0,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Collembola,7,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Lepidoptera,0,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Orthoptera,1,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Blattodea,0,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Psocodea,0,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Neuroptera,0,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Araneae,5,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Mecoptera,0,,,,,,,,
sgl100,recent,6/27/25,clear vane,55,1,no,totaled,"100, CV 55, 2025-6-27",,Diplopoda,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Hymenoptera,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Coleoptera,1,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Hemiptera,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Diptera,10,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Thysanoptera,5,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Acari,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Opiliones,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Collembola,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Lepidoptera,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Orthoptera,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Blattodea,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Psocodea,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Neuroptera,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Araneae,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Mecoptera,0,,,,,,,,
sgl100,medium,6/27/25,clear vane,61,1,yes,totaled,"100, CV 61, 2025-6-27",,Diplopoda,0,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Hymenoptera,28,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Coleoptera,51,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Hemiptera,6,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Diptera,98,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Thysanoptera,41,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Acari,13,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Opiliones,0,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Collembola,5,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Lepidoptera,3,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Orthoptera,7,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Blattodea,0,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Psocodea,1,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Neuroptera,0,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Araneae,6,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Mecoptera,0,,,,,,,,
sgl100,unburned,6/27/25,clear vane,67,1,no,totaled,"100, CV 67, 2025-6-27",,Diplopoda,2,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Hymenoptera,16,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Coleoptera,90,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Hemiptera,17,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Diptera,72,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Thysanoptera,14,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Acari,2,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Opiliones,0,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Collembola,0,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Lepidoptera,7,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Orthoptera,0,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Blattodea,0,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Psocodea,5,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Neuroptera,1,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Araneae,1,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Mecoptera,0,,,,,,,,
sgl176,recent,7/21/25,clear vane,73,1,no,totaled,"176, CV 73, 2025-7-21",,Diplopoda,0,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Hymenoptera,27,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Coleoptera,61,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Hemiptera,17,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Diptera,71,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Thysanoptera,42,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Acari,4,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Opiliones,2,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Collembola,5,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Lepidoptera,13,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Orthoptera,3,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Blattodea,0,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Psocodea,1,,,,,,,,
sgl176,medium,7/21/25,clear vane,79,1,no,totaled,"176, CV 79, 2025-7-21",,Neuroptera,0,,,,,,,,
