Forest,BurnType,TakedownDate,TrapType,TreeNumber,TimePoint,TrapDestroyed,VialNumber,LabelCode,PrelimID,Order,Count,Family,LifeStage,SubfamilyOrTribe,Superfamily,Genus,Specimen ID,Guild,Sex,det,Preservation,Notes,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","slightly less small, adult staph",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",blue rove beetle,Coleoptera,1,Staphylinidae,,,,,,?,,,,probably a predator,
,,,,,,,,,,,,,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",tan chafer scarab,Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","dark brown scarab, possibly Asiatic garden beetle",Coleoptera,1,Scarabaeidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","probably red headed ash borer, Neoclytus acuminatus",Coleoptera,1,Cerambycidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","probably red headed ash borer, Neoclytus acuminatus",Coleoptera,1,Cerambycidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","probably red headed ash borer, Neoclytus acuminatus",Coleoptera,1,Cerambycidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",probably lined longhorn beetle (Analeptura lineola),Coleoptera,1,Cerambycidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",probably round-necked longhorn beetle (Clytus ruricola),Coleoptera,1,Cerambycidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",probably round-necked longhorn beetle (Clytus ruricola),Coleoptera,1,Cerambycidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",large black click beetle,Coleoptera,1,Elateridae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3",brown click beetle,Coleoptera,1,Elateridae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,2 flies mixed in with the thrips. They were put with the flies,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","small, red-brown staphylinid adults (47 total)",Coleoptera,1,Staphylinidae,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","bark beetles, varying sizes and colors (50 total)",Coleoptera,1,Curculionidae,,Scolytinae,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","bark beetles, varying sizes and colors (50 total)",Coleoptera,1,Curculionidae,,Scolytinae,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,3,"322, CV 1, 2025-6-9, Vial 3","bark beetles, varying sizes and colors (50 total)",Coleoptera,1,Curculionidae,,Scolytinae,,,,,,,,,
